batch,loss,ACC
107,<<epoch || averaged loss>>,0.06960267294198275
1,0.13458532094955444,0.8815028901734104
690,0.38867223262786865,0.8901734104046243
108,<<epoch || averaged loss>>,0.5232575535774231
1,0.003031147178262472,0.869942196531792
690,0.00023576690000481904,0.8872832369942196
109,<<epoch || averaged loss>>,0.003266914078267291
1,0.00036901148268952966,0.8815028901734104
690,0.003748169867321849,0.884393063583815
110,<<epoch || averaged loss>>,0.0041171813500113785
1,0.011455142870545387,0.8872832369942196
690,0.5424940586090088,0.8930635838150289
111,<<epoch || averaged loss>>,0.5539492014795542
1,0.07345208525657654,0.9017341040462428
690,0.00020701007451862097,0.9017341040462428
112,<<epoch || averaged loss>>,0.07365909533109516
1,0.0007601969409734011,0.8988439306358381
690,0.46101295948028564,0.8728323699421965
113,<<epoch || averaged loss>>,0.46177315642125905
1,0.0016476338496431708,0.8815028901734104
690,0.05415496230125427,0.861271676300578
114,<<epoch || averaged loss>>,0.05580259615089744
1,0.16281002759933472,0.8757225433526011
690,1.109850525856018,0.8930635838150289
115,<<epoch || averaged loss>>,1.2726605534553528
1,0.02785084955394268,0.8786127167630058
690,0.004202093929052353,0.8901734104046243
116,<<epoch || averaged loss>>,0.03205294348299503
1,0.1650676727294922,0.8901734104046243
690,0.6716353297233582,0.8988439306358381
117,<<epoch || averaged loss>>,0.8367030024528503
1,0.00487860944122076,0.9075144508670521
690,0.048167772591114044,0.9046242774566474
118,<<epoch || averaged loss>>,0.053046382032334805
1,0.002737952396273613,0.9017341040462428
690,0.07061059027910233,0.9017341040462428
119,<<epoch || averaged loss>>,0.07334854267537594
1,0.12224531173706055,0.9017341040462428
690,0.00043152502621524036,0.884393063583815
120,<<epoch || averaged loss>>,0.12267683676327579
1,0.001823763712309301,0.8872832369942196
690,0.0032853817101567984,0.815028901734104
121,<<epoch || averaged loss>>,0.005109145422466099
1,0.003950572572648525,0.8294797687861272
690,0.05576544255018234,0.8901734104046243
122,<<epoch || averaged loss>>,0.05971601512283087
1,0.03377274051308632,0.8728323699421965
690,0.002533472841605544,0.9248554913294798
123,<<epoch || averaged loss>>,0.03630621335469186
1,0.0010822867043316364,0.9161849710982659
690,0.21245019137859344,0.9104046242774566
124,<<epoch || averaged loss>>,0.21353247808292508
1,0.000630660040769726,0.9046242774566474
690,0.049568645656108856,0.9046242774566474
125,<<epoch || averaged loss>>,0.05019930569687858
1,0.0007838670280762017,0.8988439306358381
690,1.3092000484466553,0.9046242774566474
126,<<epoch || averaged loss>>,1.3099839154747315
1,0.0038439128547906876,0.9075144508670521
690,0.008629592135548592,0.8959537572254336
127,<<epoch || averaged loss>>,0.01247350499033928
1,0.06359729170799255,0.8901734104046243
690,0.004270888399332762,0.9017341040462428
128,<<epoch || averaged loss>>,0.06786818010732532
1,0.15844976902008057,0.9046242774566474
690,0.030552919954061508,0.884393063583815
129,<<epoch || averaged loss>>,0.18900268897414207
1,0.19385741651058197,0.8901734104046243
690,0.0010156185599043965,0.8959537572254336
130,<<epoch || averaged loss>>,0.19487303507048637
1,0.0016396469436585903,0.8901734104046243
690,0.001956618158146739,0.8728323699421965
131,<<epoch || averaged loss>>,0.0035962651018053293
1,0.0007403730996884406,0.8959537572254336
690,0.0009395984234288335,0.8901734104046243
132,<<epoch || averaged loss>>,0.001679971523117274
1,0.1482374221086502,0.8959537572254336
690,0.1923035830259323,0.8815028901734104
133,<<epoch || averaged loss>>,0.3405410051345825
1,0.005549024324864149,0.8815028901734104
690,0.01328455749899149,0.861271676300578
134,<<epoch || averaged loss>>,0.01883358182385564
1,0.0007880158955231309,0.8728323699421965
690,0.0004628193564713001,0.8872832369942196
135,<<epoch || averaged loss>>,0.001250835251994431
1,0.5375638008117676,0.9017341040462428
690,0.03282928094267845,0.8815028901734104
136,<<epoch || averaged loss>>,0.570393081754446
1,0.04064967483282089,0.8815028901734104
690,0.006613206584006548,0.8786127167630058
137,<<epoch || averaged loss>>,0.04726288141682744
1,0.004609780851751566,0.8872832369942196
690,0.00023928002337925136,0.9017341040462428
138,<<epoch || averaged loss>>,0.004849060875130817
1,0.00038675329415127635,0.9017341040462428
690,2.220628023147583,0.8930635838150289
139,<<epoch || averaged loss>>,2.2210147764417343
1,0.005629401188343763,0.8988439306358381
690,0.007791934534907341,0.8815028901734104
140,<<epoch || averaged loss>>,0.013421335723251104
1,0.8437807559967041,0.884393063583815
690,0.00030249840347096324,0.9046242774566474
141,<<epoch || averaged loss>>,0.8440832544001751
1,0.2274433821439743,0.9075144508670521
690,0.01898886263370514,0.8959537572254336
142,<<epoch || averaged loss>>,0.24643224477767944
1,0.004283270798623562,0.8959537572254336
690,0.0018562793266028166,0.8959537572254336
143,<<epoch || averaged loss>>,0.0061395501252263784
1,0.0003068252117373049,0.8930635838150289
690,0.0008909333264455199,0.9132947976878613
144,<<epoch || averaged loss>>,0.0011977585381828249
1,0.000901620602235198,0.9219653179190751
690,0.0024746586568653584,0.9046242774566474
145,<<epoch || averaged loss>>,0.0033762792591005564
1,0.009553037583827972,0.9161849710982659
690,0.1953839659690857,0.8439306358381503
146,<<epoch || averaged loss>>,0.20493700355291367
1,0.0008456110954284668,0.846820809248555
690,0.05130927264690399,0.8959537572254336
147,<<epoch || averaged loss>>,0.05215488374233246
1,0.18221549689769745,0.884393063583815
690,0.0017456202767789364,0.8988439306358381
148,<<epoch || averaged loss>>,0.18396111717447639
1,0.0007340358570218086,0.884393063583815
690,0.14539237320423126,0.884393063583815
149,<<epoch || averaged loss>>,0.14612640906125307
1,0.011863415129482746,0.8872832369942196
690,0.009943351149559021,0.8641618497109826
150,<<epoch || averaged loss>>,0.021806766279041767
1,0.004843076691031456,0.8872832369942196
690,9.806174057302997e-05,0.9017341040462428
151,<<epoch || averaged loss>>,0.004941138431604486
1,0.00017199644935317338,0.9046242774566474
690,0.0007531017763540149,0.9017341040462428
152,<<epoch || averaged loss>>,0.0009250982257071882
1,8.812879241304472e-05,0.8930635838150289
690,0.00133693462703377,0.884393063583815
153,<<epoch || averaged loss>>,0.0014250634194468148
1,0.21500781178474426,0.8757225433526011
690,0.0027296270709484816,0.9046242774566474
154,<<epoch || averaged loss>>,0.21773743885569274
1,0.03648652136325836,0.8988439306358381
690,0.0006203190423548222,0.9104046242774566
155,<<epoch || averaged loss>>,0.037106840405613184
1,0.0018801315454766154,0.9075144508670521
690,0.04452599585056305,0.9017341040462428
156,<<epoch || averaged loss>>,0.046406127396039665
1,0.029414059594273567,0.9017341040462428
690,0.0084431953728199,0.9075144508670521
157,<<epoch || averaged loss>>,0.03785725496709347
1,0.06295967102050781,0.9046242774566474
690,0.06266499310731888,0.9075144508670521
158,<<epoch || averaged loss>>,0.1256246641278267
1,0.0021921745501458645,0.9219653179190751
690,0.006162138655781746,0.8930635838150289
159,<<epoch || averaged loss>>,0.00835431320592761
1,0.0001847526291385293,0.8988439306358381
690,0.9188557863235474,0.8930635838150289
160,<<epoch || averaged loss>>,0.9190405389526859
1,0.004070742055773735,0.9017341040462428
690,0.012101189233362675,0.8930635838150289
161,<<epoch || averaged loss>>,0.01617193128913641
1,0.00028212444158270955,0.8872832369942196
690,0.00014732612180523574,0.884393063583815
162,<<epoch || averaged loss>>,0.0004294505633879453
1,0.38517555594444275,0.8988439306358381
690,0.14501869678497314,0.8670520231213873
163,<<epoch || averaged loss>>,0.5301942527294159
1,0.03132285177707672,0.8728323699421965
690,0.0010437562596052885,0.861271676300578
164,<<epoch || averaged loss>>,0.03236660803668201
1,0.0110238678753376,0.8670520231213873
690,0.007296642288565636,0.8583815028901735
165,<<epoch || averaged loss>>,0.018320510163903236
1,0.001978526124730706,0.861271676300578
690,3.367569297552109e-05,0.8670520231213873
166,<<epoch || averaged loss>>,0.0020122018177062273
1,0.004766526166349649,0.861271676300578
690,0.0008140775607898831,0.8728323699421965
167,<<epoch || averaged loss>>,0.0055806037271395326
1,0.013157139532268047,0.8641618497109826
690,0.00011180630826856941,0.8786127167630058
168,<<epoch || averaged loss>>,0.013268945840536617
1,0.002309706760570407,0.8815028901734104
690,0.006459251046180725,0.8815028901734104
169,<<epoch || averaged loss>>,0.008768957806751132
1,3.409288183320314e-05,0.8815028901734104
690,1.1563199223019183e-05,0.8815028901734104
170,<<epoch || averaged loss>>,4.565608105622232e-05
1,0.00253854738548398,0.8988439306358381
690,0.010237673297524452,0.861271676300578
171,<<epoch || averaged loss>>,0.012776220683008432
1,0.00024798576487228274,0.8786127167630058
690,0.004961290862411261,0.8815028901734104
172,<<epoch || averaged loss>>,0.005209276627283543
1,0.01609119027853012,0.8757225433526011
